"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20130101,20130331,126684839000,126684839000,,,,,,,,120696600000,111467313000,,,,,,,,,,,4541057000,342613000,3663862000,598451000,83304000,,,-5467000,700164000,567530000,,,,,,,,6682936000,172311000,12530000,1849000,,,6842717000,1759789000,,,,5082928000,3568923000,,1514005000,,,0.12,0.12,-225819000,,,4857109000,3403634000,1453475000,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20121231,571515835000,571515835000,,,,,,,,545331305000,501835387000,,,,,,,,,,,22056947000,1298672000,13402257000,4125443000,2612599000,,,200979000,2995696000,2713247000,,,,,,,,29381205000,950792000,171063000,22670000,,,30160934000,7384236000,,,,22776698000,15735236000,-6785000,7041462000,,,0.52,0.52,28007000,,,22804705000,15713878000,7090827000,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20120930,393926420000,393926420000,,,,,,,,375906065000,347004673000,,,,,,,,,,,14851420000,835101000,9665711000,3139126000,410034000,,,-51375000,1645925000,1092918000,,,,,,,,19614905000,616767000,89529000,5350000,,,20142143000,4947563000,,,,15194580000,10678725000,,4515855000,,,0.36,0.35,-437975000,,,14756605000,10228748000,4527857000,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20120630,253492005000,253492005000,,,,,,,,241490111000,222916657000,,,,,,,,,,,9355934000,481226000,6227164000,2132165000,376965000,,,18784000,1027364000,716347000,,,,,,,,13048042000,453817000,45979000,5804000,,,13455880000,3511071000,,,,9944809000,7173961000,-6785000,2770848000,,,0.24,0.24,-138490000,,,9806319000,7018849000,2787470000,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20120331,104335935000,104335935000,,,,,,,,100149156000,91895413000,,,,,,,,,,,3982407000,194706000,3070680000,849660000,156290000,,,22901000,451263000,256702000,,,,,,,,4660943000,176925000,9737000,2042000,,,4828131000,1061953000,,1000,,3766179000,2558605000,,1207573000,1000,,0.09,0.09,71816000,,,3837994000,2577591000,1260404000,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20111231,482836637000,482836637000,,,,,,,,459453827000,424703839000,,,,,,,,,,,18959794000,920261000,11137939000,2901529000,830465000,,,-217568000,1992393000,1414204000,,,,,,,,25157635000,930455000,195924000,161961000,,,25892166000,6653625000,,,,19238541000,13536971000,2153000,5701570000,,,0.45,0.45,359852000,,,19598393000,13794063000,5804330000,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110930,341797646000,341797646000,,,,,,,,324865822000,301538052000,,,,,,,,,,,13466089000,512595000,7965104000,980015000,403967000,,,-247375000,949541000,540426000,,,,,,,,17633990000,614793000,119887000,9007000,,,18128896000,4310379000,,,,13818517000,9601523000,,4216993000,1000,,0.32,0.32,149410000,,,13967927000,9856698000,4111229000,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110630,218269794000,218140532000,129262000,,,,,,,207198972000,192075256000,,,,,,,,,,,9007286000,342864000,4911274000,456815000,405477000,,,38144000,790224000,526059000,,,,,,,,11899190000,365449000,31763000,10536000,,,12232876000,3214695000,,,,9018181000,6528691000,,2489490000,,,0.22,0.22,-60845000,,,8957336000,6565383000,2391953000,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110331,87230744000,87230744000,,,,,,,,83107179000,76760604000,,,,,,,,,,,3166798000,135391000,2519501000,402287000,122598000,,,41909000,248072000,226542000,,,,,,,,4413546000,65449000,7042000,1070000,,,4471953000,1140463000,,,,3331490000,2205305000,,1126185000,,,0.07,0.07,-98682000,,,3232808000,2094489000,1138319000,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20101231,370417533000,370417533000,,,,,,,,353158093000,325649848000,,,,,,,,,,,15122858000,932147000,9194581000,954202000,1304457000,,,-25069000,1555704000,609699000,,,,,,,,18790075000,1371223000,520909000,39469000,,,19640389000,4925179000,,,,14715210000,9237293000,16570000,5477917000,,,0.31,0.31,729951000,,,15445161000,9673610000,5771551000,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20100930,246633141000,246633141000,,,,,,,,235134932000,218118306000,,,,,,,,,,,9623979000,432129000,5943907000,503198000,513413000,,,-1846000,582968000,222121000,,,,,,,,12079331000,939619000,62269000,8503000,,,12956681000,2990542000,,,,9966139000,6559857000,,3406282000,,,0.22,0.22,-41691000,,,9924448000,6517009000,3407439000,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20100630,158241636000,158241636000,,,,,,,,150350738000,139309238000,,,,,,,,,,,6163726000,338413000,3677783000,360447000,501131000,,,-134043000,465964000,160047000,,,,,,,,8222819000,889246000,43443000,8140000,,,9068622000,2047581000,,,,7021041000,4634184000,,2386857000,,,0.15,0.15,-151019000,,,6870022000,4455245000,2414777000,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20100331,62366600000,62366600000,,,,,,,,59481094000,55010751000,,,,,,,,,,,2181256000,130371000,1960006000,111605000,87105000,,,-27987000,-4078000,-3688000,,,,,,,,2853441000,99061000,18035000,696000,,,2934467000,902417000,,,,2032050000,1386273000,,645777000,,,0.05,0.05,166035000,,,2198085000,1485020000,713065000,,,,,,,,,,,,,,,,,,,,,,,,
20090101,20091231,260379635000,260379635000,0,0,0,0,0,0,0,247812815000,228738058000,0,0,0,0,0,0,0,0,0,0,10049229000,747998000,6841764000,829200000,606566000,0,0,-72193000,213715000,174532000,0,0,0,0,0,0,0,12708342000,289562000,113767000,56978000,0,0,12884137000,3809017000,0,0,0,9075120000,5729799000,0,3345321000,0,0,0.25,0.25,176199000,0,0,9251318000,5886061000,3365257000,,,,,,,,,,,,,,,,,,,,,,,,
20090101,20090930,176195381000,176195381000,,,,,,,,168620239000,155796758000,,,,,,,,,,,6465854000,501504000,4773445000,988735000,93943000,,,68852000,82242000,92713000,,,,,,,,7726236000,118992000,48551000,4707000,,,7796677000,2101502000,,,,5695175000,3666206000,,2028969000,,,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090101,20090630,111327572000,111327572000,0,0,0,0,0,,,106178085000,97718455000,0,0,0,0,0,0,0,0,0,0,4268500000,292741000,3003370000,785499000,109520000,,,11518000,90183000,75339000,0,0,0,0,0,,,5251188000,76350000,11707000,4693000,,,5315831000,1490963000,0,,,3824868000,2346106000,,1478762000,,,0.13,0.13,-46234000,,,3778634000,2453191000,1325443000,,,,,,,,,,,,,,,,,,,,,,,,
20090101,20090331,43722107012.53,43722107012.53,0,0,0,0,0,,,41926454448.43,38389342223.09,0,0,0,0,0,0,0,0,0,0,1493555785.51,144733333.13,1483627590.22,424462995.68,-9267479.2,,,6047745.6,84775102.6,85183130.93,0,0,0,0,0,,,1886475412.3,60864651.88,5593956.06,809785.12,,,1941746108.12,436955801.49,0,,,1504790306.63,842603302.59,,662187004.04,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080101,20081231,202096799000,202096799000,0,0,0,0,0,,,195656221000,179198017000,0,0,0,0,0,0,0,0,0,0,7697534000,831085000,6120063000,1399942000,409580000,,,-59086000,323239000,155610000,0,0,0,0,0,,,6704731000,269996000,113229000,35550000,,,6861498000,2222291000,0,,,4639207000,2745480000,,1893727000,,,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080101,20080930,141239937420.57,141239937420.57,0,0,0,0,0,0,0,136461623790.73,124668908496.19,0,0,0,0,0,0,0,0,0,0,5351098506.48,695651776.52,4308423727.43,1391958351.47,45582932.64,0,0,-70707181.48,116168994.4,127764386.11,0,0,0,0,0,0,0,4823775442.76,431392162.43,49841808.75,1752182.29,0,0,5205325796.44,1555979091.33,0,0,0,3649346705.11,2476603628.76,0,1172743076.35,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20080101,20080630,95245915000,95245915000,0,0,0,0,0,0,0,90999936000,83211831000,0,0,0,0,0,0,0,0,0,0,3833114000,300184000,2808657000,735532000,110618000,0,0,-35093000,97842000,88024000,0,0,0,0,0,0,0,4308728000,96039000,42290000,8404000,0,0,4362477000,1305590000,0,0,0,3056887000,1887332000,0,1169555000,0,0,0.1,0.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20070101,20071231,168305805000,168305805000,0,0,0,0,0,,,159514191000,147184969000,0,0,0,0,0,0,0,0,0,0,6363897000,600480000,3715816000,1204498000,444531000,,,-54351000,701444000,461915000,0,0,0,0,0,,,9438707000,347650000,130624000,45461000,,,9655733000,2590489000,0,,,7065244000,4916974000,959000,2148270000,,,0.29,0.29,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20060101,20061231,133205965000,133205965000,0,0,0,0,0,0,0,129676018000,119418729000,0,0,0,0,0,0,0,0,0,0,4355919000,405908000,4403183000,820723000,271556000,0,0,157125000,1084835000,521080000,0,0,0,0,0,0,0,4771907000,197466000,173349000,102386000,0,0,4796024000,1206719000,0,0,0,3589305000,2411516000,23767000,1177789000,0,0,0.14,0.14,0,0,0,3589305000,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20050101,20051231,104608678000,104608678000,0,0,0,0,0,,,102009484000,93865659000,0,0,0,0,0,0,0,0,0,0,3038128000,298451000,3910223000,626290000,270733000,,,30585000,213688000,160114000,0,0,0,0,0,,,2843467000,168250000,86873000,28155000,,,2924844000,551672000,0,,,2373172000,1395444000,0,977728000,,,0.08,0.08,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
